2015-08-04 14:03:10,457  INFO | main | clinsys.heo.order_service.config.BeanConfig             | ENTER 
2015-08-04 14:03:10,459  INFO | main | clinsys.heo.order_service.config.BeanConfig             | ENTER 
2015-08-04 14:03:10,580  INFO | main | org.springframework.web.servlet.DispatcherServlet       | FrameworkServlet 'appServlet': initialization completed in 1165 ms 
2015-08-04 14:03:41,290  INFO | Thread-1 | o.s.web.context.support.XmlWebApplicationContext        | Closing WebApplicationContext for namespace 'appServlet-servlet': startup date [Tue Aug 04 14:03:09 CDT 2015]; parent: Root WebApplicationContext 
2015-08-04 14:03:41,298  INFO | Thread-1 | o.s.web.context.support.XmlWebApplicationContext        | Closing Root WebApplicationContext: startup date [Tue Aug 04 14:03:09 CDT 2015]; root of context hierarchy 
2015-08-04 14:04:26,144  INFO | main | org.springframework.web.context.ContextLoader           | Root WebApplicationContext: initialization started 
2015-08-04 14:04:26,346  INFO | main | o.s.web.context.support.XmlWebApplicationContext        | Refreshing Root WebApplicationContext: startup date [Tue Aug 04 14:04:26 CDT 2015]; root of context hierarchy 
2015-08-04 14:04:26,378  INFO | main | o.s.beans.factory.xml.XmlBeanDefinitionReader           | Loading XML bean definitions from ServletContext resource [/WEB-INF/spring/root-context.xml] 
2015-08-04 14:04:26,487  INFO | main | org.springframework.web.context.ContextLoader           | Root WebApplicationContext: initialization completed in 339 ms 
2015-08-04 14:04:26,559  INFO | main | org.springframework.web.servlet.DispatcherServlet       | FrameworkServlet 'appServlet': initialization started 
2015-08-04 14:04:26,563  INFO | main | o.s.web.context.support.XmlWebApplicationContext        | Refreshing WebApplicationContext for namespace 'appServlet-servlet': startup date [Tue Aug 04 14:04:26 CDT 2015]; parent: Root WebApplicationContext 
2015-08-04 14:04:26,564  INFO | main | o.s.beans.factory.xml.XmlBeanDefinitionReader           | Loading XML bean definitions from ServletContext resource [/WEB-INF/spring/appServlet/servlet-context.xml] 
2015-08-04 14:04:26,813  INFO | main | o.s.b.f.annotation.AutowiredAnnotationBeanPostProcessor | JSR-330 'javax.inject.Inject' annotation found and supported for autowiring 
2015-08-04 14:04:26,992  INFO | main | o.s.w.s.m.m.annotation.RequestMappingHandlerMapping     | Mapped "{[/base_order/{pid}],methods=[GET],params=[],headers=[],consumes=[],produces=[application/json],custom=[]}" onto public clinsys.heo.order_service.base_order_reader.domain_objects.BaseOrder clinsys.heo.order_service.base_order_reader.contollers.BaseOrderController.getBaseOrderForPID(java.lang.String,java.util.Locale,org.springframework.ui.Model) throws java.lang.Exception 
2015-08-04 14:04:26,997  INFO | main | o.s.w.s.m.m.annotation.RequestMappingHandlerMapping     | Mapped "{[/testerino],methods=[GET],params=[],headers=[],consumes=[],produces=[application/javascript],custom=[]}" onto public java.lang.String clinsys.heo.order_service.eso_order_writer.controllers.EsoOrdersWriterController.landingPage0(java.util.Locale,org.springframework.ui.Model) throws java.io.IOException,javax.xml.bind.JAXBException,java.security.KeyManagementException,java.security.NoSuchAlgorithmException,java.security.KeyStoreException 
2015-08-04 14:04:26,997  INFO | main | o.s.w.s.m.m.annotation.RequestMappingHandlerMapping     | Mapped "{[/gen_sample_orders],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public clinsys.heo.order_service.eso_order_writer.domain_objects.ESO_Packet clinsys.heo.order_service.eso_order_writer.controllers.EsoOrdersWriterController.gen_sample(java.util.Locale,org.springframework.ui.Model) throws java.io.IOException,javax.xml.bind.JAXBException,java.security.KeyManagementException,java.security.NoSuchAlgorithmException,java.security.KeyStoreException 
2015-08-04 14:04:26,998  INFO | main | o.s.w.s.m.m.annotation.RequestMappingHandlerMapping     | Mapped "{[/write_eso_orders],methods=[POST],params=[],headers=[],consumes=[],produces=[application/javascript],custom=[]}" onto public java.lang.String clinsys.heo.order_service.eso_order_writer.controllers.EsoOrdersWriterController.writeOrders(clinsys.heo.order_service.eso_order_writer.domain_objects.ESO_Packet,java.util.Locale,org.springframework.ui.Model) throws java.io.IOException,javax.xml.bind.JAXBException,java.security.KeyManagementException,java.security.NoSuchAlgorithmException,java.security.KeyStoreException 
2015-08-04 14:04:26,999  INFO | main | o.s.w.s.m.m.annotation.RequestMappingHandlerMapping     | Mapped "{[/],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String clinsys.heo.order_service.HomeController.home(java.util.Locale,org.springframework.ui.Model) 
2015-08-04 14:04:27,406  INFO | main | o.s.w.s.m.m.annotation.RequestMappingHandlerAdapter     | Looking for @ControllerAdvice: WebApplicationContext for namespace 'appServlet-servlet': startup date [Tue Aug 04 14:04:26 CDT 2015]; parent: Root WebApplicationContext 
2015-08-04 14:04:27,452  INFO | main | o.s.w.s.m.m.annotation.RequestMappingHandlerAdapter     | Looking for @ControllerAdvice: WebApplicationContext for namespace 'appServlet-servlet': startup date [Tue Aug 04 14:04:26 CDT 2015]; parent: Root WebApplicationContext 
2015-08-04 14:04:27,520  INFO | main | o.s.web.servlet.handler.SimpleUrlHandlerMapping         | Mapped URL path [/resources/**] onto handler 'org.springframework.web.servlet.resource.ResourceHttpRequestHandler#0' 
2015-08-04 14:04:27,566  INFO | main | clinsys.heo.order_service.config.BeanConfig             | ENTER 
2015-08-04 14:04:27,568  INFO | main | clinsys.heo.order_service.config.BeanConfig             | ENTER 
2015-08-04 14:04:27,693  INFO | main | org.springframework.web.servlet.DispatcherServlet       | FrameworkServlet 'appServlet': initialization completed in 1134 ms 
2015-08-04 14:04:44,285  INFO | qtp1890287843-15 | clinsys.heo.order_service.HomeController                | Welcome home! The client locale is en_US. 
2015-08-04 14:04:51,526  INFO | qtp1890287843-23 | c.h.o.base_order_reader.contollers.BaseOrderController  | ENTER controller pid = 9720 
2015-08-04 14:04:51,526  INFO | qtp1890287843-23 | c.h.o.base_order_reader.domain_objects.BaseOrder_DAO    | ENTER 
2015-08-04 14:04:52,182  INFO | qtp1890287843-23 | c.h.o.base_order_reader.domain_objects.BaseOrder_DAO    | LEAVE 
2015-08-04 14:04:52,182  INFO | qtp1890287843-23 | c.h.o.base_order_reader.contollers.BaseOrderController  | LEAVE controller 
2015-08-04 14:13:28,212  INFO | Thread-1 | o.s.web.context.support.XmlWebApplicationContext        | Closing WebApplicationContext for namespace 'appServlet-servlet': startup date [Tue Aug 04 14:04:26 CDT 2015]; parent: Root WebApplicationContext 
2015-08-04 14:13:28,242  INFO | Thread-1 | o.s.web.context.support.XmlWebApplicationContext        | Closing Root WebApplicationContext: startup date [Tue Aug 04 14:04:26 CDT 2015]; root of context hierarchy 
